Zabaki	57.25	22.21667	LV	33
Vutneni	56.54832	26.67369	LV	20
Vucini	56.32158	26.2048	LV	22
Voveri	56.63333	27.48333	LV	24
Vosi	57.51667	26.65	LV	43
Vorozha	57.36667	27.91667	LV	00
Vornevka	56.35	26.98333	LV	24
Vorkali	56.48333	27.86667	LV	19
Vonogi	56.2	27.86667	LV	19
Volovecas Ezers	56.1663	27.43664	LV	14
Volkova	57.5	27.23333	LV	02
Volkarezi	56.2	27.96667	LV	19
Volgaci	56.66667	26.25	LV	20
Daumanti	56.39277	23.69704	LV	00
Volcica	56.2	27.78333	LV	19
Voiti	56.55	27.85	LV	56
Vocisi	56.25	27.18333	LV	24
Vyada	57.4	28.15	LV	00
Vizla	57.43333	26.35	LV	00
Vizla	57.41667	26.26667	LV	D1
Vizenti	57.61667	22.35	LV	60
Vizdarbi	56.25	25.33333	LV	98
Vizbuli	56.40056	24.04556	LV	04
Vitzeni	57.71667	25.01667	LV	39
Vitrupas	56.545	23.52528	LV	12
Vitrupe	57.63528	24.37528	LV	18
Vitrupe	57.59583	24.52083	LV	18
Vitolini	56.7	23.70444	LV	12
Vitolini	57.36667	22.41667	LV	28
Vitoli	56.91667	21.65	LV	15
Vitoli	56.3	23.1	LV	00
Vitoli	57.25	21.56667	LV	33
Vitkuski	55.9616	26.05202	LV	07
Vitini	56.75	22.85	LV	73
Vitini	56.49406	21.10263	LV	17
Vitini	56.44314	22.918	LV	08
Viteikas	56.29389	24.08944	LV	04
Vite	56.96444	24.98917	LV	94
Vistusala	57.15701	27.40754	LV	03
Rembate	56.75389	24.78389	LV	79
Visli	57.01667	22.48333	LV	15
Viskuzu Sala	57.18333	22.16667	LV	33
Viskuzi	57.16667	22.15	LV	33
Viskuli	56.81667	27.13333	LV	03
Visku Ezers	56.05201	26.82158	LV	07
Stacija Viski	56.08166	26.73823	LV	07
Viski	57.5443	25.80199	LV	30
Viski	56.05344	26.78321	LV	07
Viskeri	56.3527	27.33845	LV	24
Viskeri	57.33333	21.98333	LV	33
Viskalni	57.76667	24.53333	LV	18
Viskale	56.66667	25.35	LV	82
Visikums	57.45	27.26667	LV	02
Visi	56.38333	27.56667	LV	24
Stacija Visgali	56.83333	26.5	LV	91
Visezers	57.27472	24.68194	LV	18
Viselovo	55.98333	26.81667	LV	07
Visaudas Ezers	56.13866	27.43647	LV	14
Virziki	57.23333	21.61667	LV	33
Kirsupe	57.33111	24.60472	LV	18
Virsukalns	56.88194	24.98333	LV	21
Virsytis	56.38167	23.93083	LV	00
Virsite	56.34552	23.91415	LV	00
Virpes-Valki	57.41667	22.01667	LV	33
Virpes-Adzi	57.45	22.01667	LV	33
Virpe	57.47369	22.01725	LV	33
Virkusmuiza	56.65111	23.34417	LV	08
Stacija Virkeni	57.91045	25.23877	LV	31
Virkeni	57.91954	25.25293	LV	31
Virica	57.26667	27.7	LV	E7
Virga	56.43333	21.43333	LV	17
Virga	56.47671	21.41802	LV	17
Viresi	57.45465	26.36753	LV	02
Virdzes	56.93065	25.93078	LV	20
Virdangas	57.23333	22.25	LV	28
Vircava	56.64278	23.76167	LV	00
Vircava	56.55972	23.77194	LV	12
Virbupe	57.08333	22.51667	LV	28
Virbi	57.1	22.6	LV	28
Viraudas Ezers	56.58333	27.51667	LV	24
Virauda Ezers	56.22255	27.39372	LV	24
Viranite	57.11667	26.38333	LV	09
Viranes Ezeri	57.05	26.36667	LV	09
Virane	57.06667	26.38333	LV	09
Viragnas Ezers	56.10149	26.74244	LV	07
Vipulka	57.95	25.23333	LV	B8
Vipe	56.4659	26.09013	LV	10
Vinki	57.13333	26.08333	LV	72
Vinkelmani	56.61639	24.98528	LV	87
Vinkalni	56.85	21.11667	LV	A5
Vindrizi	56.55	28.11667	LV	56
Vindoli	57.01667	21.95	LV	15
Vindedzi	56.95861	24.61944	LV	B5
Vindedzi	56.38333	24.95	LV	01
Vinaukas Ezers	56.18722	25.47884	LV	10
Vimbas	56.53333	22.48333	LV	27
Vilzenu Purvs	57.7	25.03333	LV	39
Vilzeno Mezs	57.68333	25.03333	LV	39
Vilzenmuiza	57.7	25	LV	39
Vilaka	57.18458	27.6722	LV	E7
Vilusi	55.92906	26.69927	LV	07
Vilupji	56.78306	23.31361	LV	29
Vilums	57.4	25.36667	LV	81
Vilums	57.05	25.18333	LV	42
Vilpulka	57.96496	25.23345	LV	31
Vilni	56.54583	23.735	LV	12
Vilneki	56.51667	23.66667	LV	00
Villenes	56.38833	23.40278	LV	00
Villas	57.21667	22.6	LV	28
Vilkupe	56.33333	25.18333	LV	98
Vilkupe	56.1324	25.82585	LV	10
Vilku Ezers	56.2	27.71667	LV	57
Vilktaures	56.41667	22.31667	LV	27
Vilkraggi	57.41667	22.23333	LV	60
Vilki	57.88556	24.65667	LV	18
Vilki	57.33333	22.66667	LV	28
Vilkene	57.60861	24.60722	LV	18
Vilkeli	55.76667	26.8	LV	07
Vilkava	57.06667	27.6	LV	E7
Vilksala	57.03306	23.01056	LV	29
Vilkaruci	56.98333	27.3	LV	03
Vilkaji	56.51348	26.28513	LV	22
Vilkaja	56.96778	23.095	LV	29
Viljete	57.06667	22.91667	LV	29
Vilites	56.8	22.35	LV	27
Vili	56.46667	25.43333	LV	71
Vilgales Ezers	56.87581	21.80855	LV	15
Vilesu Purvs	56.8	22.36667	LV	27
Vilenieki	56.86667	21.86667	LV	15
Vildoga Stacija	57.17667	24.96167	LV	26
Vildoga	57.24528	24.95556	LV	88
Vildoga	57.20167	24.98389	LV	88
Vildani	56.95	25.01667	LV	94
Vilcini	56.82194	24.89444	LV	79
Vilcini	56.73333	26.25	LV	20
Vilcini	56.56667	24	LV	A3
Vilcini	56.47603	26.03399	LV	10
Vilcini	56.43333	25.55	LV	E6
Gaitini	56.39	24.39028	LV	04
Vilcini	57.49794	25.74996	LV	D1
Vilcini	57.43333	22.16667	LV	60
Vilkija	56.43083	23.52778	LV	00
Vilce	56.41944	23.55	LV	12
Vilcani	56.46667	26.66667	LV	B3
Vilcani	56.3	26.36667	LV	E2
Vilcani	55.95	26.25	LV	69
Vilaune	57.08333	26.26667	LV	00
Vilani	56.55253	26.92449	LV	E8
Vilande	56.96667	27.25	LV	B7
Vilakas Ezers	57.19246	27.69018	LV	03
Vikstrauti	56.71667	22.6	LV	51
Vikstene Stacija	56.58333	24.61667	LV	04
Viksni	57.01667	26.9	LV	B7
Viksnes	56.71667	26.2	LV	20
Viksnas	56.53333	22.98333	LV	44
Stacija Viksna	57.21667	27.31667	LV	03
Viksna	57.21667	27.33333	LV	03
Viksele	56.86944	23.31667	LV	29
Myza Viti	57.8625	24.79889	LV	39
Griki	57.49194	24.40972	LV	C1
Viku Ezers	56.55	25.7	LV	C2
Vikani	55.86667	27.3	LV	14
Vijciems	57.58605	25.95323	LV	30
Vija	57.61667	25.95	LV	30
Viguliica	57.43333	27.33333	LV	00
Vigodas	56.3	26.56667	LV	90
Vigkale	56.66667	25.36667	LV	82
Vigas	57.35	22.06667	LV	33
Vigante	56.56667	25.5	LV	71
Stacija Viganti	56.11667	26.83333	LV	07
Viganti	56.11667	26.83333	LV	07
Vigale	56.88333	21.8	LV	15
Vietulnieki	56.66667	27.3	LV	24
Vietalva	56.73333	25.76667	LV	A6
Vieta	57.2	26.55	LV	09
Viesupe	56.9	25.96667	LV	20
Viesuneni	56.8	25.9	LV	20
Pieturas Punkts Viesturi	56.61472	23.58444	LV	12
Viestura Laukums	57.55121	25.4364	LV	31
Viesites Ezers	56.35	25.65	LV	E6
Viesites	57.23333	26.05	LV	09
Viesites	57.06667	25.65	LV	E3
Viesites	56.41667	25.23333	LV	71
Viesite	56.43806	24.91944	LV	01
Viesite	56.34751	25.55514	LV	E6
Viesiena	56.89342	26.03146	LV	20
Viesati	56.8	22.85	LV	73
Viesata	56.83722	23.03583	LV	00
Viesalgas	56.86667	22.03333	LV	15
Viesas	57.19833	24.88944	LV	84
Vierpes	57.26667	21.7	LV	33
Vieniba	56.9025	23.13472	LV	29
Vieki	57.15	25.9	LV	72
Viekazi	57.53194	24.71306	LV	18
Viecites	57.38638	22.03712	LV	33
Velbeni	56.7	25.15	LV	C8
Vidzeti	56.85	22.41667	LV	27
Vidzemes Centrala Augstiene	57	25.83333	LV	00
Vidvide	56.31667	21.61667	LV	17
Vidusupe	57.21667	22.3	LV	28
Vidussala	56.98333	27.08333	LV	B7
